Tokens	Category
tenenci respons mascot	Tenencia Responsable
segu trabaj	Voluntariado
estudi constitucion	Compromiso con la Educación y Autoeducación
mayor concienci ecolog cuid medi ambient hog	Sustentabilidad Ambiental
respet proxim	Defensa de derechos, Inclusión y Diversidad
ser ciudadan mas critic empat	Reciprocidad-Redes
respons cuid adult mayor cuid animal	Tenencia Responsable
colabor siempr campan medioambient cuid planet	Sustentabilidad Ambiental
combat delincuent	Voluntariado
valor trabaj siend mas solidari empat conscient situacion viv rest ser individual	Reciprocidad-Redes
vot deber civic	Participación Electoral
oportun	Emprendimiento
cuid medi ambient	Sustentabilidad Ambiental
promov socied equit igualitari	Protesta Social
ejerc derech vot	Defensa de derechos, Inclusión y Diversidad
compromet ser solidari comun enseñ deb hac pais	Participación Ciudadana
activ participacion social vecindari	Participación Electoral
iguald salarial hombr mujer	Erradicar violencia contra la Mujer
elig lider adecu	Participación Ciudadana
trabaj derech socied	Defensa de derechos, Inclusión y Diversidad
trabaj equip	Trabajo
cambi polit	Accountability
transparent respons ejercici carg	Accountability
dar mayor preocupacion relev educacion civic	Compromiso con la Educación y Autoeducación
conoc respet derech human	Defensa de derechos, Inclusión y Diversidad
respet rest	Defensa de derechos, Inclusión y Diversidad
defens derech salud dign desiguald atencion	Defensa de derechos, Inclusión y Diversidad
organiz habl nuestr derech	Defensa de derechos, Inclusión y Diversidad
inform temat salud emocional	Difusión de la Información
enseñ trabaj joven	Trabajo
pag impuest	Trabajo
delincuent	Combatir Delincuencia
inform constitucion fak news	Difusión de la Información
entreg capac conoc respect tradicion cultural socied mapuch	Apoyo a Pueblos Originarios
tall femenin signif labor muj sector	Erradicar violencia contra la Mujer
luch derech trabaj vend empres	Emprendimiento
ser posit oportun present	Emprendimiento
mas comunicacion preocupacion accion hij conversacion	Familia
caus desman conflict	Confiar en la Institucionalidad
mas segur	Combatir Delincuencia
salud mental clim laboral	Autocuidado y Salud
perrit castr	Tenencia Responsable
recuper confianz haci ciudadani	Confiar en la Institucionalidad
pertenent barri	Tenencia Responsable
siend bu ejempl quer sal adel	Voluntariado
apoy constru mejor pais	Voluntariado
ayud animal	Tenencia Responsable
ayud adaptacion curricular hij	Familia
compart conoc trav taller local repost folclor	Voluntariado
cuid medi ambient cuid agu	Sustentabilidad Ambiental
empoder dec quier particip dialog	Participación Ciudadana
trabaj	Trabajo
mas amabl solidari chilen	Reciprocidad-Redes
comunicacion logr ten mejor comunicacion	Familia
volv confi	Confiar en la Institucionalidad
educ violenci gener hombr muj pequen	Combatir Delincuencia
quer constitucion reconozc puebl originari plurinacional	Apoyo a Pueblos Originarios
respet	Defensa de derechos, Inclusión y Diversidad
continu sensibiliz comun trav charl motivacional	Participación Ciudadana
respet person	Reciprocidad-Redes
conform part polit	Confiar en la Institucionalidad
cuid planet recicl contamin	Sustentabilidad Ambiental
posibl hac concienci	Difusión de la Información
valor puebl originari conoc defend pais	Apoyo a Pueblos Originarios
confi di vid personal	Confiar en la Institucionalidad
sensibiliz educacion civic hog	Compromiso con la Educación y Autoeducación
ser person inform proteg cultur costumbr etni	Cultura
trabaj agricultur ra ed compromet tierr	Cultura
aport id mejor gestion municipal	Reciprocidad-Redes
trabaj	Trabajo
inform bi	Difusión de la Información
favorec dialog espaci reunion	Cultura
cuid animalit	Tenencia Responsable
tenenci respons mascot	Tenencia Responsable
recicl	Sustentabilidad Ambiental
confi di	Confiar en la Institucionalidad
ser honest respons transparent etic	Accountability
cumpl deber civic	Participación Electoral
transmit cultur mapuch	Apoyo a Pueblos Originarios
educacion civic	Compromiso con la Educación y Autoeducación
transparent neces person discapac	Voluntariado
ten participacion respet vecin	Participación Electoral
trabaj aport trabaj part import reinsercion social	Protesta Social
ejempl concejal	Participación Electoral
ser bu vecin	Reciprocidad-Redes
comunicacion flu	Familia
esteriliz animal hembr form gratuit	Tenencia Responsable
inform mas	Difusión de la Información
laboral trabaj public compromis etic	Trabajo
trav entreg informacion concientiz grup mujer part program jef hog region	Erradicar violencia contra la Mujer
calid salud mejor calid vid	Autocuidado y Salud
ser part grup pde ayud puebl originari	Apoyo a Pueblos Originarios
hac visibl discapac condicion enfermed	Autocuidado y Salud
ser orden aport ord segur	Combatir Delincuencia
respet ley	Defensa de derechos, Inclusión y Diversidad
aument proteccion person animal maltrat	Tenencia Responsable
recicl	Sustentabilidad Ambiental
mas profesor lenguaj mapuch mapudungun	Apoyo a Pueblos Originarios
asist votacion	Participación Electoral
concientiz hij niet bu trat par	Familia
inform	Difusión de la Información
realiz atencion mas amabl atend mejor person	Reciprocidad-Redes
inform comunic entorn	Sustentabilidad Ambiental
participacion activ relacion entorn	Participación Electoral
asist manifestacion	Protesta Social
cuid medi ambient	Sustentabilidad Ambiental
logr iguald hombr mujer	Erradicar violencia contra la Mujer
inform inform	Difusión de la Información
ser empat solidari	Reciprocidad-Redes
valor mas cultur emblem chilen	Cultura
revitaliz costumbr lenguaj puebl originari	Apoyo a Pueblos Originarios
particip grup vecinal permit mejor condicion vid	Participación Ciudadana
respet autor	Reciprocidad-Redes
tom concienci medi ambiental	Sustentabilidad Ambiental
aport llev vid salud recarg gast tambi aconsej si person necesit	Familia
ten voy vot	Participación Electoral
labor social	Protesta Social
rol influenci polit ffa entiend neces align	Accountability
fiscaliz autor pertinent cas violacion derech mujer	Erradicar violencia contra la Mujer
empoder mujer	Erradicar violencia contra la Mujer
alimentacion salud cultiv organ llev ciud	Autocuidado y Salud
respet ley	Defensa de derechos, Inclusión y Diversidad
caer conform frent situacion ocurr	Confiar en la Institucionalidad
gener espaci conversacion	Cultura
inform	Difusión de la Información
cambi cultural entend	Cultura
dandol buen educacion hij	Compromiso con la Educación y Autoeducación
pertenec grup social funcional territorial	Protesta Social
conform part polit	Confiar en la Institucionalidad
habl tem drog simil hij	Combatir Delincuencia
contamin quem insectic maltrat animal	Tenencia Responsable
mapuch capac reconoc verguenz	Apoyo a Pueblos Originarios
caer conform frent situacion ocurr	Confiar en la Institucionalidad
reconoc constitucional puebl mapuch cultur tradicion lengu salud intercultural lad	Apoyo a Pueblos Originarios
trabaj	Trabajo
aliment salud	Autocuidado y Salud
mujer hac patri di manten cas recurs sac adel famili	Erradicar violencia contra la Mujer
transparent	Accountability
inculc mental ambiental	Sustentabilidad Ambiental
involucr comun	Participación Ciudadana
ser mas respons relacion salud	Autocuidado y Salud
aument recurs ambit turism agricultur pesc gastronom comerci gent benefici proyect	Cultura
mas comunicacion integracion	Familia
alzand voz expres id	Emprendimiento
inform mas	Difusión de la Información
trabaj	Trabajo
prov capac personal intelectual agricultur san sustent tiemp	Cultura
cri hij valor am patri	Familia
vot respons	Participación Electoral
