id_file,text,tokens,con_id,resume
ENC_U_4602780640112847056,asistiendo a votar,"['asistiendo', ' votar']",2,Participacion
ENC_U_4602778880117363308,conversando lo importante que es votar,"['conversando', ' importante', ' votar']",3,Participacion
ENC_U_4602777200118509403,haber educado a mis hijos.,"['haber', ' educado', ' hijos']",9,Educación y autoeducación
ENC_U_4602651983012551467,mejores ciudadanos a traves del acceso a la educación asumiendo también el cumplimiento de nuestras obligaciones que tenemos como ciudadanos,"['mejores', ' ciudadanos', ' traves', ' acceso', ' educacion', ' asumiendo', ' tambien', ' cumplimiento', ' obligaciones', ' ciudadanos']",11,Educación y autoeducación
ENC_U_4602651983012551467,capacitación para contribuir a entregar mejores atenciones,"['capacitacion', ' contribuir', ' entregar', ' mejores', ' atenciones']",13,Voluntariado
ENC_U_4602650820112130336,educar y hablar con los mas pequeños,"['educar', ' hablar', ' mas', ' pequenos']",16,Educación y autoeducación
ENC_U_4602650820112130336,ir a votar,"['ir', ' votar']",19,Participacion
ENC_U_4602649914809752187,ser mejor vecino,"['ser', ' mejor', ' vecino']",24,Autocuidado y Salud
ENC_U_4602638778801970998,cumplir mi deber civico,"['cumplir', ' deber', ' civico']",28,Voluntariado
ENC_U_4602620686714152157,"no invalidar las diferencias, generando y promoviendo el dialogo simétrico entre los distintos actores sociales","['invalidar', ' diferencias', ' generando', ' promoviendo', ' dialogo', ' simétrico', ' distintos', ' actores', ' sociales']",32,Protesta Social
ENC_U_4602015808803327609,contribuir con chile,"['contribuir', ' chile']",37,Voluntariado
ENC_U_4602006870114498634,respetando y cuidando los espacios recreacionales,"['respetando', ' cuidando', ' espacios', ' recreacionales']",38,Inclusión y Diversidad
ENC_U_4602006870114498634,respetando las diferente opiniones,"['respetando', ' diferente', ' opiniones']",40,Inclusión y Diversidad
ENC_U_4601970490118053696,votar,['votar'],46,Participacion
ENC_U_4601968270111910047,respeto,['respeto'],48,Reciprocidad-Redes
ENC_U_4601968270111910047,ir a votar,"['ir', ' votar']",51,Participacion
ENC_U_4601871500116167158,ir a votar,"['ir', ' votar']",57,Participacion
ENC_U_4601871500116167158,informarse,['informarse'],59,Educación y autoeducación
ENC_U_4601870260112596575,Ir a votar,"['ir', ' votar']",64,Participacion
ENC_U_4601845869157670140,yo soy dirigente de la junta de vecinos y contribuyo con todas mis gestiones y solicitudes para mejorar la atención y beneficios de mi club,"['dirigente', ' junta', ' vecinos', ' contribuyo', ' todas', ' gestiones', ' solicitudes', ' mejorar', ' atencion', ' beneficios', ' club']",66,Autocuidado y Salud
ENC_U_4601845869157670140,con nuestro trabajo que tuvimos y los impuestos que pagamos día a día,"['trabajo', ' impuestos', ' pagamos', ' dia', ' dia']",68,Trabajo
ENC_U_4601845869157670140,con los impuestos que pagamos. actualmente lucho por mis vecinos y sus beneficios soy dirigente,"['impuestos', ' pagamos', ' actualmente', ' lucho', ' vecinos', ' beneficios', ' dirigente']",69,Trabajo
ENC_U_4601818270117498182,preocupación por el respeto a los demás,"['preocupacion', ' hijos']",72,Educación y autoeducación
ENC_U_4601818270117498182,preocupación por los hijos,"['preocupacion', ' respeto', ' demas']",73,Reciprocidad-Redes
ENC_U_4601776212354541233,ir a votar por el cambio de constitucion en abril.,"['ir', ' votar', ' cambio', ' constitucion', ' abril']",76,Participacion
ENC_U_4601776212354541233,informarse como ciudadanos para tomar buenas decisiones.,"['informarse', ' ciudadanos', ' tomar', ' buenas', ' decisiones']",77,Educación y autoeducación
ENC_U_4601775450115858328,"en promover la paz, el dialogo y evitar que existan desórdenes, destrozos, etc","['promover', ' paz', ' dialogo', ' evitar', ' existan', ' desórdenes', ' destrozos', ' etc']",79,Protesta Social
ENC_U_4601749400712430648,"cuido a mi familia, la flora, fauna y el ambiente","['cuido', ' familia', ' flora', ' fauna', ' ambiente']",84,Sustentabilidad Ambiental
ENC_U_4601749400712430648,cuido el agua y la naturaleza ,"['cuido', ' agua', ' naturaleza']",85,Sustentabilidad Ambiental
ENC_U_4601738850118790636,"promoviendo los valores del respeto,tolerancia y responsabilidad","['promoviendo', ' valores', ' respeto', ' tolerancia', ' responsabilidad']",86,Reciprocidad-Redes
ENC_U_4601738850118790636,teniendo una actitud activa a las instancias de participación ciudadana,"['actitud', ' activa', ' instancias', ' participacion', ' ciudadana']",87,Participacion
ENC_U_4601731044543916003,"tratar de promover talleres, aprender y educados.","['tratar', ' promover', ' talleres', ' aprender', ' educados']",91,Protesta Social
ENC_U_4601725570118760633,enseñar a los jóvenes a que las cosas no se solucionan c/ violencia,"['enseñar', ' jovenes', ' cosas', ' solucionan', ' violencia']",94,Combatir Delincuencia
ENC_U_4601725570118760633,informarme mejor y leer la constitución,"['informarme', ' mejor', ' leer', ' constitucion']",96,Autocuidado y Salud
ENC_U_4599526090195321552,unirse por cuadros para apoyar la seguridad del entorno,"['unirse', ' cuadros', ' apoyar', ' seguridad', ' entorno']",99,Combatir Delincuencia
ENC_U_4599372563296591998,educación cívica,"['educacion', ' civica']",102,Educación y autoeducación
ENC_U_4599263208421130229,principalmente el respeto por el otro; en el ámbito privado y aplicarlo al ámbito público,"['principalmente', ' respeto', ' ambito', ' privado', ' aplicarlo', ' ambito', ' publico']",104,Reciprocidad-Redes
ENC_U_4598555210119472443,respetar la diversidad,"['respetar', ' diversidad']",117,Inclusión y Diversidad
ENC_U_4598530680114002671,votar,['votar'],123,Participacion
ENC_U_4598530680114002671,pagar impuestos,"['pagar', ' impuestos']",127,Trabajo
ENC_U_4598530483293640051,participacion activa,"['participacion', ' activa']",128,Participacion
ENC_U_4598421715694819003,ir a votar                                                    *conversar y escuchar,"['ir', ' votar', ' conversar', ' escuchar']",136,Participacion
ENC_U_4598381000155461122,pagando los impuestos,"['pagando', ' impuestos']",157,Trabajo
ENC_U_4598381000155461122,trabajando de forma honesta,"['trabajando', ' forma', ' honesta']",159,Trabajo
ENC_U_4598377020159295282,utilizar de forma eficiente el agua,"['utilizar', ' forma', ' eficiente', ' agua']",165,Sustentabilidad Ambiental
ENC_U_4598374070151027288,entregando mensajes positivos en redes sociales. ,"['entregando', ' mensajes', ' positivos', ' redes', ' sociales']",173,Protesta Social
ENC_U_4598374070151027288,"asistiendo a reuniones y actividades de conversación, expresando mis opiniones con respeto. ","['asistiendo', ' reuniones', ' actividades', ' conversacion', ' expresando', ' opiniones', ' respeto']",174,Reciprocidad-Redes
ENC_U_4598372200159620747,aprovechando los recursos como el agua.,"['aprovechando', ' recursos', ' agua']",177,Sustentabilidad Ambiental
ENC_U_4598371090155421436,pagando impuestos ,"['pagando', ' impuestos']",183,Trabajo
ENC_U_4598369054521341538,informarse,['informarse'],187,Educación y autoeducación
ENC_U_4598365690157925074,asistiendo a votar.,"['asistiendo', ' votar']",190,Participacion
ENC_U_4598364490156912284,cuido el agua,"['cuido', ' agua']",194,Sustentabilidad Ambiental
ENC_U_4598364490156912284,pago impuestos,"['pago', ' impuestos']",197,Trabajo
ENC_U_4598363260156675375,asistir a votar en las próximas elecciones.,"['asistir', ' votar', ' proximas', ' elecciones']",199,Participacion
ENC_U_4598363260156675375,difundir información que beneficie a la comunidad.,"['difundir', ' informacion', ' beneficie', ' comunidad']",201,Participacion
ENC_U_4598360210156649032,"denunciar cuando observe violencia, robos, etc en mi sector","['denunciar', ' observe', ' violencia', ' robos', ' etc', ' sector']",213,Combatir Delincuencia
ENC_U_4598338985522268051,ser mejor persona,"['ser', ' mejor', ' persona']",218,Autocuidado y Salud
ENC_U_4598337190995449677,informarme y votar,"['informarme', ' votar']",219,Participacion
ENC_U_4598232470115381386,informarse,['informarse'],228,Educación y autoeducación
ENC_U_4598225960116484312,pagar los impuestos,"['pagar', ' impuestos']",229,Trabajo
ENC_U_4598225960116484312,mejorar la -------- /barrio con ------ vecinos,"['mejorar', ' barrio', ' vecinos']",231,Autocuidado y Salud
ENC_U_4598225960116484312,votar,['votar'],233,Participacion
ENC_U_4597714154323201617,informar a la comunidad dentro de los conocimientos que se tenga.,"['informar', ' comunidad', ' dentro', ' conocimientos']",236,Participacion
ENC_U_4597712444321373328,participación.,['participacion'],238,Participacion
ENC_U_4597712444321373328,respetar la opinión del otro.,"['respetar', ' opinion']",240,Inclusión y Diversidad
ENC_U_4597692710117299203,votar,['votar'],243,Participacion
ENC_U_4597643359322725615,cumplir eficientemente mis tareas laborales,"['cumplir', ' eficientemente', ' tareas', ' laborales']",253,Voluntariado
ENC_U_4597643359322725615,colaborar como familia en las tareas educacionales de mis hijos.,"['colaborar', ' familia', ' tareas', ' educacionales', ' hijos']",255,Educación y autoeducación
ENC_U_4597643308415751967,Respetar la democracia que actualmente impera en nuestro país.,"['respetar', ' democracia', ' actualmente', ' impera', ' pais']",261,Inclusión y Diversidad
ENC_U_4597481903513306584,respeto entre parejas,"['respeto', ' parejas']",269,Reciprocidad-Redes
ENC_U_4597481903513306584,participación ,['participacion'],271,Participacion
ENC_U_4597463400111912984,informarse e informar.,"['informarse', ' informar']",274,Educación y autoeducación
ENC_U_4597460140117150320,participación social activa ,"['participacion', ' social', ' activa']",279,Participacion
ENC_U_4597460140117150320,ir a votar,"['ir', ' votar']",280,Participacion
ENC_U_4597432140771459873,apoyarlos entre vecinos ante la delincuencia,"['apoyarlos', ' vecinos', ' delincuencia']",284,Combatir Delincuencia
