id,date,init_time,end_time,location,address,comuna_id,n_members,group_name,valid
enc_u_4602780640112847056,2020-02-25 00:00:00,10:00:00,12:00:00,municipalidad de saavedra,ejercito 1424,9116,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602778880117363308,2020-02-18 00:00:00,11:00:00,13:00:00,sede comunidad indigena millapan romero,sector coipulafquen,9112,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602777200118509403,2020-02-14 00:00:00,10:20:00,12:20:00,municipalidad de cunco,pedro aguirre cerda 600,9103,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602666791193242253,2020-03-16 00:00:00,15:30:00,16:30:00,injuv,lautaro navarro 631,12101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602651983012551467,2020-03-13 00:00:00,15:00:00,17:20:00,casa de acogida copiapo ,,3101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4602650820112130336,2020-03-03 00:00:00,10:30:00,12:30:00,municipalidad de traiguen,basilio urrutia 914,9210,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602649914809752187,2020-03-14 00:00:00,10:00:00,11:30:00,sector san pablo,"omar grency # 3860, valdivia",14101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602638778801970998,2020-03-13 00:00:00,10:00:00,11:40:00,casa particular,balmaceda 6229,14101,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4602620686714152157,2020-03-03 00:00:00,15:00:00,17:08:00,salon casa de la mujer,luis cruz martinez 2066,7304,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4602015808803327609,2020-03-13 00:00:00,10:00:00,11:40:00,casa particular,balmaceda 6229,14101,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4602006870114498634,2020-03-13 00:00:00,11:00:00,13:00:00,biblioteca municipal saavedra,calle ejercito s/n,9116,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601970490118053696,2020-03-12 00:00:00,10:00:00,12:00:00,frontis de municipalidad de teodoro shmidt,balmaceda 410,9117,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601968270111910047,2020-03-13 00:00:00,11:00:00,13:00:00,biblioteca municipal,calle ejercito s/n,9116,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601872630118251597,2020-03-12 00:00:00,10:00:00,12:00:00,frontis de municipalidad de teodoro schmidt,balmaceda ndeg 410,9117,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601871500116167158,2020-03-09 00:00:00,09:00:00,10:00:00,seremi de bienes nacionales,arturo prat 535,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601870260112596575,2020-03-06 00:00:00,10:00:00,12:00:00,municipalidad de victoria,lagos 680,9211,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601845869157670140,2020-03-13 00:00:00,10:15:00,11:45:00,sed union comunal adulto mayor,conuepan esquina mc oliver ,9112,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4601818270117498182,2020-03-13 00:00:00,20:30:00,22:30:00,j.j.v.v los lagos,lago penuelas 400,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601776212354541233,2020-03-03 00:00:00,00:00:16,00:00:00,junta de vecinos 6,cerro merced fco maquett,5101,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4601775450115858328,2020-03-13 00:00:00,10:30:00,12:30:00,municipalidad de  saavedra,avenida ejercito 1424,9116,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601749400712430648,2020-02-03 00:00:00,12:30:00,14:00:00,salon municipal traiguen,,9210,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4601738850118790636,2020-02-13 00:00:00,10:30:00,12:30:00,ilustre municipalidad de saavedra,av ejercito 1424,9116,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4601731044543916003,2020-03-11 00:00:00,14:30:00,16:50:00,delegacion trupan ,alejandro perez 14,9101,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4601725570118760633,2020-03-13 00:00:00,10:30:00,12:30:00,municipalidad de saavedra,av ejercito #1424,9116,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4599526090195321552,2020-02-12 00:00:00,10:00:00,12:30:00,sede jjvv o'higgins,fuenzalida 2312,1101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4599372563296591998,2020-03-12 00:00:00,15:00:00,16:30:00,edificio publico villa chacao,villa chacao,10202,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4599263208421130229,2020-03-13 00:00:00,10:00:00,12:20:00,"centro de la mujer, san javier",esmeralda ndeg 907,7406,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4599158663298166911,2020-03-11 00:00:00,10:45:00,12:05:00,sala consejo municipal comuna puerto octay,pedro montt s/n,10302,8,usuarios de oficina movil de bienes nacionales,True
enc_u_4598585422351013149,2020-02-15 00:00:00,19:00:00,19:45:00,juan lopez,,2101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4598555210119472443,2020-03-11 00:00:00,12:00:00,13:00:00,frontis municipalidad de pucon,av libertador bdo ohiggins 483,9115,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598532773292467984,2020-02-28 00:00:00,17:00:00,18:30:00,jjvv cerro alegre ,poblacion cerro alegre,3302,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4598530680114002671,2020-03-12 00:00:00,10:00:00,12:00:00,municipalidad de teodoro schmidt,balmaceda ndeg 410,9117,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598530483293640051,2020-02-28 00:00:00,17:00:00,18:20:00,junta vecinos cerro alegre,poblacion cerro alegre,5101,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4598522590711903201,2020-02-26 00:00:00,10:30:00,11:45:00,area traiguen,rivero 1059,9210,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4598421715694819003,2020-03-06 00:00:00,19:20:00,00:00:00,edificio puerto vallarta,arturo fernandez #2011,1101,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4598389170159296566,2020-02-16 00:00:00,19:50:00,22:10:00,casa,poblacion san luis,7101,0,usuarios de oficina movil de bienes nacionales,True
enc_u_4598385550153533853,2020-02-12 00:00:00,20:00:00,21:53:00,casa,villa bicentenario,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598383170151924860,2020-02-11 00:00:00,14:50:00,16:25:00,casa,villa magisteco,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598381000155461122,2020-02-05 00:00:00,10:15:00,12:40:00,casa oficina,2 sur con 5 oriente,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598379130154541284,2020-02-04 00:00:00,15:15:00,17:10:00,casa,villa conanicoop,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598377020159295282,2020-03-02 00:00:00,11:20:00,13:10:00,oficina,2 sur 3 y 4 oriente,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598374070151027288,2020-01-31 00:00:00,10:45:00,12:30:00,casa particular,5 pte. 26 sur,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598372200159620747,2020-01-31 00:00:00,14:50:00,16:30:00,casa,costanera,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598371090155421436,2020-01-30 00:00:00,16:35:00,18:25:00,casa,villa chilena,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598369054521341538,2020-01-24 00:00:00,15:00:00,17:30:00,centro de alto rendimiento instituto nacional deportes los rios,pedro aguirre,14101,9,usuarios de oficina movil de bienes nacionales,True
enc_u_4598365690157925074,2020-01-30 00:00:00,16:10:00,18:15:00,casa particular.,spte 28sur.,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598364490156912284,2020-01-29 00:00:00,16:15:00,18:25:00,casa,villa las americas,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598363260156675375,2020-01-29 00:00:00,19:45:00,22:16:00,casa particular,16 1/2 sur 7 1/1 oriente,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598361490157529121,2020-01-28 00:00:00,15:40:00,17:30:00,junta de vecinos,dona ignacia ii,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598360210156649032,2020-01-14 00:00:00,19:00:00,20:30:00,15 norte #2363 villa parque industrial,15 norte #2363,7101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598338985522268051,2020-03-06 00:00:00,10:30:00,12:00:00,pucon,calle ansorena s/n,9115,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598337190995449677,2020-01-22 00:00:00,17:00:00,00:00:00,direccion regional injuv coquimbo,av francisco de aguirre #414,4101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4598258293297838130,2020-03-11 00:00:00,10:45:00,12:05:00,sala concejo municipal comuna pto. octay,pedro montt s/n,10302,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4598232470115381386,2020-03-04 00:00:00,09:00:00,10:30:00,seremi bienes nacionales,arturo prat ndeg535,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4598225960116484312,2020-02-03 00:00:00,09:00:00,10:30:00,seremi de bienes nacionales.,arturo pratt ndeg535,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597714154323201617,2020-01-16 00:00:00,10:30:00,12:00:00,municipalidad palena,bernardo o'higgins 740,10404,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597712444321373328,2020-01-16 00:00:00,10:30:00,12:05:00,salon municipal palena,bernardo o'higgins #740,10404,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4597697931718672065,2020-03-06 00:00:00,12:30:00,13:23:00,oficina del area indap petorca,esmeralda #190 petorca,5404,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597692710117299203,2020-03-06 00:00:00,10:00:00,12:00:00,municipalidad de temuco,prat #650,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597643380118026494,2020-03-06 00:00:00,10:00:00,12:00:00,ilustre municipalidad de temuco,avenida prat 650,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597643359322725615,2020-03-11 00:00:00,14:00:00,15:30:00,biblioteca,jose joaquin perez 775,8201,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597643308415751967,2020-01-15 00:00:00,00:00:00,00:00:00,colegio san camilo,sector el esfuerzo,9103,10,usuarios de oficina movil de bienes nacionales,True
enc_u_4597641730116574573,2020-03-05 00:00:00,10:00:00,12:00:00,centro cultural  de freire,pedro canales numero 137,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597481903513306584,2020-02-05 00:00:00,19:30:00,20:50:00,vichuquen,calle comercio s/n,7309,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4597463400111912984,2020-03-05 00:00:00,11:00:00,12:30:00,centro cultural,pedro camalez ndeg137,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597460140117150320,2020-03-03 00:00:00,11:00:00,12:30:00,municipalidad de traiguen,basilio urrutia ndeg 0914,9210,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597432140771459873,2020-03-05 00:00:00,14:00:00,15:30:00,facultad de medicina / caino,universidad de la frontera,9101,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4597430940772627274,2020-03-04 00:00:00,16:00:00,17:00:00,liceo l6v nueva imperial,pratt 501,9111,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597427340775463337,2020-02-28 00:00:00,10:00:00,12:00:00,facultad de medicina ufro,casino de la facultad,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597425290772173197,2020-02-07 00:00:00,10:00:00,12:00:00,cunco,colico centro,9103,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597423750772042294,2020-02-22 00:00:00,14:00:00,15:30:00,feria de la papa,plaza de armas,9102,6,usuarios de oficina movil de bienes nacionales,True
enc_u_4597419179157584588,2020-03-06 00:00:00,11:00:00,12:40:00,centro cultural freire,canales sur #186,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4597399390774544454,2020-02-28 00:00:00,15:00:00,16:30:00,junta vecinos ,el lucero ,9102,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4597390948805369662,2020-03-10 00:00:00,19:30:00,20:30:00,junta vecinal #11 villa esmeralda,la concepcion #1200,2101,8,usuarios de oficina movil de bienes nacionales,True
enc_u_4597389308801652651,2020-03-10 00:00:00,19:30:00,00:00:00,sede junta vecinos villa esmeralda,las prisas 1200,2101,8,usuarios de oficina movil de bienes nacionales,True
enc_u_4596870160118219514,2020-03-06 00:00:00,10:00:00,12:00:00,victoria,plaza de armas de victoria,9211,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596868730114685865,2020-03-05 00:00:00,10:00:00,12:00:00,centro cultutal de freire,pedro camales 135,9105,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596866960111106515,2020-03-02 00:00:00,10:30:00,12:30:00,municipalidad de traiguen,basilio urrutia 914,9210,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596828470115071020,2020-03-10 00:00:00,11:00:00,13:30:00,union comunal del adulto mayor sto. leon,pedro aguirre cerda #376,9118,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596806191197827612,2019-12-22 00:00:00,20:30:00,21:30:00,eiffel 582,eiffel 582 villa pedro lagos,15101,12,usuarios de oficina movil de bienes nacionales,True
enc_u_4596799489416460526,2020-01-10 00:00:00,15:00:00,17:45:00,sala de reuniones seremi mop,bulnes 897,9101,5,usuarios de oficina movil de bienes nacionales,True
enc_u_4596767860994930497,2020-03-09 00:00:00,21:00:00,23:00:00,poblacion imperial,imperial 1288,15101,7,usuarios de oficina movil de bienes nacionales,True
enc_u_4596766050112223446,2020-03-06 00:00:00,19:30:00,20:30:00,jjvv volla rivera,manzan knes 253,9101,5,usuarios de oficina movil de bienes nacionales,True
