id,date,age,comuna_id,level,age_range,online
2123660,,58,10404,Media incompleta (incluyendo Media Técnica),45-60,False
2124357,09-12-2019,50,1,Media completa. Técnica incompleta,45-60,False
2124607,,58,10404,Básica completa,45-60,False
2682519,23-12-2019,63,13401,Media completa. Técnica incompleta,>=60,False
2687907,24-12-2019,25,13201,Universitaria incompleta. Técnica completa,15-30,False
2689524,18-12-2019,62,13401,Básica completa,>=60,False
2689603,18-12-2019,58,13401,Educación básica incompleta o inferior,45-60,False
2689741,18-12-2019,64,13401,Educación básica incompleta o inferior,>=60,False
2728637,08-01-2020,52,13132,Técnica completa,45-60,False
2728808,08-01-2020,23,13132,Universitaria incompleta. Técnica completa,15-30,False
2728967,,,13132,Media incompleta (incluyendo Media Técnica),0-15,False
2740587,09-02-2020,52,13114,Técnica completa,45-60,False
2765038,10-01-2020,35,13120,Universitaria completa,30-45,False
2765108,10-01-2020,29,13114,Universitaria incompleta. Técnica completa,15-30,False
2765181,10-01-2020,54,13114,Técnica completa,45-60,False
2765260,10-01-2020,38,13115,Técnica completa,30-45,False
2765309,10-01-2020,38,13502,Técnica completa,30-45,False
2770106,10-01-2020,25,13501,Universitaria incompleta. Técnica completa,15-30,False
2770254,10-01-2020,55,13113,Técnica completa,45-60,False
2770347,10-01-2020,37,13130,Media completa. Técnica incompleta,30-45,False
2770531,10-01-2020,35,13120,Técnica completa,30-45,False
2770646,10-01-2020,66,13121,Técnica completa,>=60,False
2770698,10-01-2020,34,13101,Universitaria completa,30-45,False
2770884,10-01-2020,25,13119,Universitaria incompleta. Técnica completa,15-30,False
2770956,10-01-2020,,13120,Universitaria incompleta. Técnica completa,0-15,False
2771127,10-01-2020,47,13101,Técnica completa,45-60,False
2778789,,,1,,0-15,False
2779131,10-01-2020,31,13101,Técnica completa,30-45,False
2779249,10-01-2020,33,13120,Técnica completa,30-45,False
2779266,10-01-2020,65,13115,Técnica completa,>=60,False
2781197,,,1,,0-15,False
2781888,,,1,,0-15,False
2781965,,,1,,0-15,False
2789733,10-01-2020,63,4304,Básica completa,>=60,False
2795619,,,1,,0-15,False
2795773,,,1,,0-15,False
2798249,14-01-2020,43,12301,Técnica completa,30-45,False
2799118,,,1,,0-15,False
2801976,,,1,,0-15,False
2801985,12-01-2020,23,4301,Universitaria incompleta. Técnica completa,15-30,False
2802027,14-01-2020,35,3301,Técnica completa,30-45,False
