"","Comuna","code_comuna"
"1","SAAVEDRA",9116
"2","PADRE LAS CASAS",9112
"3","CUNCO",9103
"4","PUNTA ARENAS",12101
"5","COPIAPÓ",3101
"6","TRAIGUÉN",9210
"7","VALDIVIA",14101
"8","MOLINA",7304
"9","TEODORO SCHMIDT",9117
"10","TEMUCO",9101
"11","VICTORIA",9211
"12","VALPARAÍSO",5101
"13","IQUIQUE",1101
"14","ANCUD",10202
"15","SAN JAVIER",7406
"16","PUERTO OCTAY",10302
"17","ANTOFAGASTA",2101
"18","PUCÓN",9115
"19","ALTO DEL CARMEN",3302
"20","TALCA",7101
"21","LA SERENA",4101
"22","PALENA",10404
"23","PETORCA",5404
"24","LEBU",8201
"25","FREIRE",9105
"26","VICHUQUÉN",7309
"27","NUEVA IMPERIAL",9111
"28","CARAHUE",9102
"29","TOLTÉN",9118
"30","ARICA",15101
"31",NA,NA
"32","OSORNO",10301
"33","HUALQUI",8105
"34","CURICÓ",7301
"35","PURRANQUE",10303
"36","COIHAIQUE",11101
"37","GENERAL LAGOS",15202
"38","MAULE",7105
"39","CONSTITUCIÓN",7102
"40","PUTRE",15201
"41","ANGOL",9201
"42","SANTIAGO",13101
"43","LA UNIÓN",14201
"44","ILLAPEL",4201
"45","OVALLE",4301
"46","CALAMA",2201
"47","VALLENAR",3301
"48","LANCO",14103
"49","MARIQUINA",14106
"50","ALTO HOSPICIO",1107
"51","HUARA",1404
"52","PORTEZUELO",16205
"53","CHOLCHOL",9121
"54","COLLIPULLI",9202
"55","LONCOCHE",9109
"56","SAN JUAN DE LA COSTA",10306
"57","QUILLOTA",5501
"58","SAN BERNARDO",13401
"59","CALERA DE TANGO",13403
"60","RÍO HURTADO",4305
"61","CABILDO",5402
"62","VILLA ALEMANA",5804
"63","POZO ALMONTE",1401
"64","PORVENIR",12301
"65","MAULLÍN",10108
"66","LOS ANGELES",8301
"67","ANTUCO",8302
"68","TUCAPEL",8312
"69","AISÉN",11201
"70","LO PRADO",13117
"71","PELLUHUE",7203
"72","CAUQUENES",7201
"73","YUMBEL",8313
"74","SAN CLEMENTE",7109
"75","FRUTILLAR",10105
"76","CALBUCO",10102
"77","DIEGO DE ALMAGRO",3202
"78","CHAÑARAL",3201
"79","VIÑA DEL MAR",5109
"80","GALVARINO",9106
"81","VICUÑA",4106
"82","LA LIGUA",5401
"83","LINARES",7401
"84","LOS VILOS",4203
"85","CANELA",4202
"86","SAN RAFAEL",7110
"87","LOS SAUCES",9206
"88","CURACAUTÍN",9203
"89","FREIRINA",3303
"90","PICHILEMU",6201
"91","SAN JOSÉ DE MAIPO",13203
"92","DALCAHUE",10205
"93","CASTRO",10201
"94","CHILLÁN",16101
"95","MEJILLONES",2102
"96","PITRUFQUÉN",9114
"97","LA GRANJA",13111
"98","PUERTO VARAS",10109
"99","SAN ANTONIO",5601
"100","PUERTO MONTT",10101
"101","TOCOPILLA",2301
"102","MONTE PATRIA",4303
"103","COQUIMBO",4102
"104","PEÑALOLÉN",13122
"105","CATEMU",5702
"106","LONQUIMAY",9205
"107","FUTRONO",14202
"108","CONCEPCIÓN",8101
"109","HIJUELAS",5503
"110","LLANQUIHUE",10107
"111","LUMACO",9207
"112","RÍO IBÁÑEZ",11402
"113","CHILE CHICO",11401
"114","SAN FELIPE",5701
"115","SANTA CRUZ",6310
"116","LA FLORIDA",13110
"117","YUNGAY",16109
"118","PUTAENDO",5705
"119","LA REINA",13113
"120","LOLOL",6304
"121","PEUMO",6112
"122","LAS CABRAS",6107
"123","CASABLANCA",5102
"124","SAN VICENTE",6117
"125","RANCAGUA",6101
"126","TALCAHUANO",8110
"127","LITUECHE",6203
"128","PURÉN",9208
"129","TENO",7308
"130","LOS ANDES",5301
"131","SAN FERNANDO",6301
"132","VILLARRICA",9120
"133","NATALES",12401
"134","SAN CARLOS",16301
"135","OHIGGINS",11302
"136","HUASCO",3304
"137","LONGAVÍ",7403
"138","BUIN",13402
"139","PAINE",13404
"140","BULNES",16102
"141","GORBEA",9107
"142","CHIMBARONGO",6303
"143","COLTAUCO",6104
"144","DOÑIHUE",6105
"145","CHAITÉN",10401
"146","VILLA ALEGRE",7407
"147","ESTACIÓN CENTRAL",13106
"148","CALDERA",3102
"149","CERRILLOS",13102
"150","PANGUIPULLI",14108
"151","RÍO BUENO",14204
"152","MELIPEUCO",9110
"153","MELIPILLA",13501
"154","ISLA DE PASCUA",5201
"155","CAMARONES",15102
"156","QUIRIHUE",16201
"157","CHANCO",7202
"158","SAN FABIÁN",16304
"159","ÑIQUÉN",16303
"160","CONCÓN",5103
"161","FLORIDA",8104
"162","HUALAÑÉ",7302
"163","RÍO NEGRO",10305
"164","NOGALES",5506
"165","QUILICURA",13125
"166","NAVIDAD",6205
"167","PAREDONES",6206
"168","PROVIDENCIA",13123
"169","CORONEL",8102
"170","VILCÚN",9119
"171","RECOLETA",13127
"172","QUILLÓN",16107
"173","LAGO RANCO",14203
"174","LOS MUERMOS",10106
